Season,TeamName,BoxscoreIndex
2011,Houston Rockets,201011060SAS
2011,Houston Rockets,201011070HOU
2011,Houston Rockets,201011100WAS
2011,Houston Rockets,201011120IND
2011,Houston Rockets,201011140NYK
2011,Houston Rockets,201011160HOU
2011,Houston Rockets,201011170OKC
2011,Houston Rockets,201011190TOR
2011,Houston Rockets,201011220HOU
2011,Houston Rockets,201011240HOU
2011,Houston Rockets,201011260CHA
2011,Houston Rockets,201011280HOU
2011,Houston Rockets,201011290DAL
2011,Houston Rockets,201012010HOU
2011,Houston Rockets,201012030MEM
2011,Houston Rockets,201012040CHI
2011,Houston Rockets,201012070HOU
2011,Houston Rockets,201012100MIL
2011,Houston Rockets,201012110HOU
2011,Houston Rockets,201012140HOU
2011,Houston Rockets,201012150OKC
2011,Houston Rockets,201012170HOU
2011,Houston Rockets,201012190SAC
2011,Houston Rockets,201012200GSW
2011,Houston Rockets,201012220LAC
2011,Houston Rockets,201012270HOU
2011,Houston Rockets,201012290HOU
2011,Houston Rockets,201012310HOU
2011,Houston Rockets,201101020POR
2011,Houston Rockets,201101030DEN
2011,Houston Rockets,201101050HOU
2011,Houston Rockets,201101070ORL
2011,Houston Rockets,201101080HOU
2011,Houston Rockets,201101100BOS
2011,Houston Rockets,201101120HOU
2011,Houston Rockets,201101140HOU
2011,Houston Rockets,201101150ATL
2011,Houston Rockets,201101170HOU
2011,Houston Rockets,201101190HOU
2011,Houston Rockets,201101210MEM
2011,Houston Rockets,201101220HOU
2011,Houston Rockets,201101240MIN
2011,Houston Rockets,201101260HOU
2011,Houston Rockets,201101270DAL
2011,Houston Rockets,201101290SAS
2011,Houston Rockets,201102010LAL
2011,Houston Rockets,201102020UTA
2011,Houston Rockets,201102050HOU
2011,Houston Rockets,201102070DEN
2011,Houston Rockets,201102080HOU
2011,Houston Rockets,201102120HOU
2011,Houston Rockets,201102140HOU
2011,Houston Rockets,201102160HOU
2011,Houston Rockets,201102220DET
2011,Houston Rockets,201102230CLE
2011,Houston Rockets,201102260HOU
2011,Houston Rockets,201102270NOH
2011,Houston Rockets,201103010POR
2011,Houston Rockets,201103020LAC
2011,Houston Rockets,201103050HOU
2011,Houston Rockets,201103070SAC
2011,Houston Rockets,201103080PHO
2011,Houston Rockets,201103120HOU
2011,Houston Rockets,201103140HOU
2011,Houston Rockets,201103160HOU
2011,Houston Rockets,201103180HOU
2011,Houston Rockets,201103200HOU
2011,Houston Rockets,201103230HOU
2011,Houston Rockets,201103270MIA
2011,Houston Rockets,201103290NJN
2011,Houston Rockets,201103300PHI
2011,Houston Rockets,201104010HOU
2011,Houston Rockets,201104030HOU
2011,Houston Rockets,201104050HOU
2011,Houston Rockets,201104060NOH
2011,Houston Rockets,201104090HOU
2011,Houston Rockets,201104110HOU
2011,Houston Rockets,201104130MIN
2011,Phoenix Suns,201010260POR
2011,Phoenix Suns,201010280UTA
2011,Phoenix Suns,201010290PHO
2011,Phoenix Suns,201011030PHO
2011,Phoenix Suns,201011050PHO
2011,Phoenix Suns,201011070ATL
2011,Phoenix Suns,201011080MEM
2011,Phoenix Suns,201011120PHO
2011,Phoenix Suns,201011140LAL
2011,Phoenix Suns,201011150PHO
2011,Phoenix Suns,201011170MIA
2011,Phoenix Suns,201011180ORL
2011,Phoenix Suns,201011200CHA
2011,Phoenix Suns,201011220HOU
2011,Phoenix Suns,201011240PHO
2011,Phoenix Suns,201011260PHO
2011,Phoenix Suns,201011280DEN
2011,Phoenix Suns,201012020GSW
2011,Phoenix Suns,201012030PHO
2011,Phoenix Suns,201012050PHO
2011,Phoenix Suns,201012070POR
2011,Phoenix Suns,201012080PHO
2011,Phoenix Suns,201012100PHO
2011,Phoenix Suns,201012150PHO
2011,Phoenix Suns,201012170DAL
2011,Phoenix Suns,201012190OKC
2011,Phoenix Suns,201012200SAS
2011,Phoenix Suns,201012230PHO
2011,Phoenix Suns,201012260LAC
2011,Phoenix Suns,201012290PHO
2011,Phoenix Suns,201012310PHO
2011,Phoenix Suns,201101020SAC
2011,Phoenix Suns,201101050PHO
2011,Phoenix Suns,201101070PHO
2011,Phoenix Suns,201101090PHO
2011,Phoenix Suns,201101110DEN
2011,Phoenix Suns,201101120PHO
2011,Phoenix Suns,201101140PHO
2011,Phoenix Suns,201101170NYK
2011,Phoenix Suns,201101190CLE
2011,Phoenix Suns,201101210WAS
2011,Phoenix Suns,201101220DET
2011,Phoenix Suns,201101240PHI
2011,Phoenix Suns,201101260PHO
2011,Phoenix Suns,201101280PHO
2011,Phoenix Suns,201101300PHO
