,home_points,away_points
786,86,116
789,100,95
791,113,81
794,102,101
799,119,114
801,102,112
802,95,103
806,121,102
809,103,94
812,90,104
814,114,106
815,109,102
817,107,114
821,104,81
822,98,102
823,96,109
825,128,104
826,109,92
828,107,118
830,123,101
831,118,88
832,96,129
835,127,120
838,95,98
848,113,126
849,107,93
851,95,118
853,104,102
854,113,119
855,87,108
856,115,135
859,100,105
860,100,99
863,96,92
864,103,102
870,110,88
871,122,117
874,114,93
875,119,93
879,92,109
881,104,111
884,109,98
886,113,101
892,98,109
895,119,104
896,116,95
898,116,100
900,111,112
903,117,127
909,110,99
910,96,94
911,108,118
914,122,120
917,102,109
918,111,85
921,86,115
922,111,106
926,119,116
929,108,101
930,103,104
934,107,85
936,119,105
941,115,97
942,116,124
944,104,115
946,105,116
947,101,95
948,99,104
949,116,114
953,118,129
956,85,92
961,105,106
963,98,106
965,119,80
968,111,116
979,114,120
985,103,88
988,132,98
989,94,127
998,107,119
999,109,125
1001,136,109
1006,113,115
1007,112,115
1008,99,108
1013,127,106
1016,100,115
1017,125,115
1023,92,95
1024,76,87
1028,115,98
1031,126,127
1032,99,121
1034,117,95
1051,139,127
1059,113,104
1061,88,94
1062,122,115
1064,99,84
1065,103,118
1077,129,133
1085,128,116
1088,136,125
1090,120,111
1094,110,127
1097,121,112
1101,111,109
1113,109,117
1116,118,105
1135,110,109
1137,114,90
1145,131,103
1147,114,113
1151,94,101
1154,87,91
1156,100,97
1159,101,93
1167,92,129
1170,97,92
1173,111,105
1186,103,111
1188,100,86
1189,131,134
1218,98,97
1220,127,119
1226,97,91
1227,95,101
1231,141,94
1246,120,113
1250,117,106
1251,100,89
1252,87,90
1264,112,104
1267,108,94
1272,120,92
1276,102,94
1278,114,108
1285,97,100
1293,94,93
1300,102,104
1304,106,121
1318,100,120
1320,109,103
1327,122,124
1328,112,108
1344,116,97
1345,101,103
1346,106,108
1359,82,94
1364,101,89
1374,110,97
1379,129,88
1389,126,125
1392,105,98
1393,117,111
1399,120,102
1405,115,116
1415,73,83
1420,103,95
1432,118,116
1435,81,98
1444,93,103
1450,94,85
1467,104,116
1470,87,93
1477,100,98
1493,86,106
1499,112,131
1500,134,139
1515,111,118
1517,92,113
1536,79,100
1550,112,114
1567,94,112
1591,100,96
1593,106,91
1614,109,95
1636,95,83
1644,102,103
1683,105,103
1736,83,106
